Designator,Mid X,Mid Y,Rotation,Layer
C1,181.5,-142.0,90.0,top
C2,167.0,-142.0,90.0,top
C3,161.0,-142.0,90.0,top
C4,146.5,-142.0,90.0,top
C5,144.25,-142.0,90.0,top
C6,129.75,-142.0,90.0,top
C7,123.75,-142.0,90.0,top
C8,109.25,-142.0,90.0,top
J2,105.025,-129.9,180.0,top
J3,125.025,-129.9,180.0,top
J4,145.025,-129.9,180.0,top
J5,164.975,-129.9,180.0,top
